"458388873,2025-07-10T09:00:44Z,1404/04/19 12:30,zih,ziba45,twit,#شاخص_بورس با بررسی پیام ها ،نشان می دهد که همه از ریزش بورس ناله می کنند ولی باید بدانیم یکی از مهمترین عوامل ریزش بورس خود سهامداران هستند که با کوچکترین خبر ،گله وار در صف فروش قرار می گیرند ،چه سهم سود ساز خوب وبنیادی باشد و یا نه ، همه طمع داریم که سهم خود را بفروشیم و ضرر احتمالی آینده خود را به کس دیگری همانند خودمان منتقل کنیم که این کار جوانمردانه ای نیست اگر سهامداران کمی صبور باشند و طمع نکنند بورس این همه ریزش نمی کند."
"458388870,2025-07-10T09:00:33Z,1404/04/19 12:30,سامی,samiii1986,twit,#شاخص_بورس فارغ از هر دیدگاه سیاسی ...... جنگ را ما بردیم چون 1.  ما متجاوز نبودیم 2. ضربات مهلک خود را به اونا زدیم 3.  تقاضای صلح را اونا کردن 4.  به اهداف اصلی خودشون نرسیدن  5. یکی در برابر همه بودیم 6. هنوز هم از ما میترسن و.✌️✌️✌️✌️👌👌👌................اما .................. اما  اونا چطور توجیه میکنن ؟؟؟؟؟؟؟؟؟؟ بورس بنی صهیون در این مدت رشد فوق العاده ایی کرده  ولی بورس ما سقوط بی سابقه و شدید و بی اعتمادی مطلق  مردم پس میگن  ما را شکست دادن (دیشب نتانیابو گفت ) حالا جاسوس موساد را سهوا یا عمدا پیدا کنید ضرر مالی به خودی در بورس در همین 10 روز کاری اندازه کل ضرر مالی بمباران بوده😵😵😵😭😭😫😫😡🤬😠😡"
"458388827,2025-07-10T08:55:40Z,1404/04/19 12:25,شاهین,shahinnj,quote,پس صندوقهای در آمد ثابت چی میدن ؟ طرح حامی مفید چی میده ؟"
"458387430,2025-07-10T06:06:51Z,1404/04/19 09:36,بهرام قربانی,bahrumq,retwit,#عیار  صندوق طلا"
"458385838,2025-07-09T21:18:18Z,1404/04/19 00:48,As,asmahan12,retwit,#شاخص_بورس  به چه جرمی شش سال تمام زندگیمون غارت شد"
"458376720,2025-07-09T08:49:07Z,1404/04/18 12:19,آذربایجانیم,azerbaijanim,retwit,#شاخص_بورس \n\nکلیه مسئولان بورسی  دشمنان مملکت عزیزمان هستن. \n\nکاری کردن که سهامداران از همه چیز و همه کس بدبین بشن.\n\nمثل دشمنان دشمن درست میکنن... \n\nلعنت به شما ، هم از خودی میخوریم . هم از ناخودی"
"458388802,2025-07-10T08:54:23Z,1404/04/19 12:24,ساعدی,aszs,twit,#کاوه \nخانه  اخبار و نشریات  اخبار شرکت فولاد کاوه جنوب کیش، لیدر بازار شمش فولادی ایران در ۳ ماهه نخست جاری\nفولاد کاوه جنوب کیش، لیدر بازار شمش فولادی ایران در ۳ ماهه نخست جاری\nفولاد کاوه جنوب کیش، لیدر بازار شمش فولادی ایران در ۳ ماهه نخست جاریفولاد کاوه جنوب کیش، لیدر بازار شمش فولادی ایران در ۳ ماهه نخست جاری\nدر سه‌ماهه نخست سال ۱۴۰۴، شرکت فولاد کاوه جنوب کیش موفق شد جایگاه نخست بازار شمش فولادی کشور را به خود اختصاص دهد و به عنوان لیدر این بازار، بیشترین حجم عرضه، حجم معامله و ارزش معاملات شمش فولادی را در بورس کالای ایران رقم بزند. همچنین از میان ۶۹ شرکت عرضه‌کننده شمش فولادی در بورس کالای ایران، بیشترین میزان تقاضا برای خرید شمش «کاوه» ثبت شده است.\n\n \n\nبررسی آمار معاملات بورس کالای ایران نشان می‌دهد که در در سه‌ماهه نخست سال جاری، شرکت فولاد کاوه جنوب کیش با معامله ۳۱۰ هزار و ۸۰ تن شمش فولادی، سهم ۱۸.۷ درصدی از کل معاملات بازار را به خود اختصاص داده است. این میزان، بالاترین رقم تأمین بازار داخلی در میان تمامی تولیدکنندگان کشور بوده و فاصله معناداری با سایر رقبا ایجاد کرده است. \n\n \n\nاز منظر حجم عرضه نیز فولاد کاوه جنوب کیش با عرضه ۵۴۷ هزار و ۵۰۰ تن شمش فولادی، معادل ۱۸.۳ درصد کل عرضه‌های کشور، پیشتاز بازار بوده است.\n\n \n\nدر بخش تقاضا نیز شمش فولاد کاوه جنوب کیش با ثبت رقم ۴۶۳ هزار و ۲۴۰ تن، سهم ۱۶.۵ درصدی از کل تقاضای بازار را در سه ماهه نخست امسال به خود اختصاص داده است. این میزان، بیشترین جذب تقاضا در میان ۶۹ شرکت عرضه‌کننده شمش محسوب می‌شود و نشان‌دهنده جذابیت بالای محصولات فولاد کاوه برای خریداران داخلی است.\n\n \n\nدر سه ماهه نخست امسال، ارزش معاملات فولاد کاوه نیز با ثبت رقم ۹۰ هزار و ۵۶۳ میلیارد ریال، سهم ۱۸.۶ درصدی از کل ارزش معاملات شمش فولادی در بورس کالای ایران را تشکیل می‌دهد که از حیث این شاخص هم فولاد کاوه در صدر شرکت‌های تولیدکننده شمش فولادی قرار دارد. \n\n \n\nدر مجموع، بازار شمش فولادی کشور در سه‌ماهه نخست سال جاری شاهد عرضه بیش از ۲ میلیون و ۹۹۳ هزار تن شمش، ثبت تقاضای ۲ میلیون و ۷۹۹ هزار تن و معامله بالغ بر ۱ میلیون و ۶۶۱ هزار تن شمش بوده است که در این میان، سهم پررنگ فولاد کاوه جنوب کیش در تمامی شاخص‌های بازار، نقش تعیین‌کننده این شرکت در تأمین"
"458378308,2025-07-09T10:18:04Z,1404/04/18 13:48,داود,market1,retwit,#شاخص_بورس  کدوم ملت امام حسین !! \nما ملت کدام امام حسینیم ، چرا باید این همه ظلم و ستم رو تحمل کنیم و صدامون هم در نیاد ... \nما ملت کدام حسینیم ، که این همه حیله و دروغ در این کشور حاکم شده .... ما ملت کدام حسینیم ...\nما ملت کدام حسینیم که این همه شعار و ریا در کشورمون حاکم شده و همه حق هم دیگر را میخوریم...\nما ملت کدام حسینیم که 6 سال تمام باید این همه زجر و سختی بکشیم و یک مسول فاسد هم راحت بر صندلیش تکیه زده ..\n ما ملت کدام حسینیم که خون این همه سهامدار را در شیشه کرده ایم و حق الناس را رعایت نمیکنیم  ...."
"458388791,2025-07-10T08:53:58Z,1404/04/19 12:23,Pulp,pulp,twit,#وتوشه 🤣🤣🤣🤣🤣"
"458388777,2025-07-10T08:52:39Z,1404/04/19 12:22,سینا,cchiako,quote,#شاخص_بورس مگه صندوق سهامی سود پرداخت میکنن ؟ صندوق های سهم سود قطعی ندارن یعنی اصلا پرداخت سود ندارن ،\nدر 6 ماه گذشته هم از 118 صندوق 100 صندوق منفی بودن\nسهم داشتن که ضرر کردن الکی که ضرر نمیکنن😀"
